District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Hisar,2018,27.86571428571429,11.667500000000002,32.17,2.836244815964351,16.198214285714286,3.6499999999999995,4,0,7,31.812857142857144,15.378214285714284,36.61,2.254641068819237,16.434642857142858,0.74,4,3,20,36.067307692307686,18.79346153846154,39.97,2.7615699269687997,17.273846153846154,19.79,8,18,29.378176795580114,13.190773480662981,36.83
Hisar,2019,23.74214285714286,8.411071428571429,27.67,2.2805122185237203,15.331071428571429,8.18,12,0,0,25.5075,10.152142857142858,29.01,1.877759944031028,15.355357142857143,14.029999999999998,14,0,0,35.84192307692308,18.055,41.58,4.155069211679409,17.786923076923078,0.72,4,15,27.043701657458563,12.258950276243093,79.1
Hisar,2020,25.681724137931038,9.39896551724138,32.26,3.8395759335835113,16.282758620689656,10.06,3,0,4,27.25724137931035,11.852413793103445,32.26,2.850150242345285,15.404827586206897,65.17999999999999,14,0,5,31.308461538461536,15.861153846153845,36.51,2.9968859735501345,15.447307692307694,22.27,11,2,26.706043956043956,11.901703296703298,124.71000000000001
Hisar,2021,28.53571428571429,11.601428571428572,34.87,3.2593835233646486,16.93428571428571,2.18,2,0,7,32.19571428571428,15.27,35.5,2.218298361142526,16.925714285714285,4.95,6,2,21,35.94846153846154,18.238076923076925,41.42,2.106347914866283,17.710384615384616,3.4299999999999997,4,17,28.578121546961327,12.845635359116022,44.76
Hisar,2022,25.023928571428574,8.874285714285714,30.8,2.800152561036517,16.149642857142858,10.419999999999998,7,0,1,29.345000000000002,12.60464285714286,38.39,3.5064897505012573,16.740357142857142,2.16,5,3,10,40.373846153846145,21.285,43.73,1.948519595843114,19.088846153846156,0.0,0,26,29.236464088397792,13.740828729281764,80.67999999999999
Karnal,2010,26.335714285714285,9.955357142857142,33.49,3.1079020297388764,16.380357142857143,19.39,6,0,5,30.99785714285715,13.29892857142857,36.46,3.1396394663776253,17.69892857142857,3.27,4,2,20,39.49346153846154,20.446153846153848,42.55,1.5083791096609427,19.047307692307694,0.22999999999999998,2,26,29.013149171270715,13.327734806629834,63.81999999999999
Karnal,2011,24.09964285714286,9.504642857142857,28.4,2.0110444718416516,14.595,35.3,12,0,0,25.968571428571433,10.838214285714285,33.44,3.4817010681622746,15.130357142857145,23.470000000000002,14,0,3,34.70615384615385,16.32653846153846,37.26,1.1290033726187951,18.379615384615384,7.989999999999999,7,10,27.20999999999999,11.661436464088396,64.64
Karnal,2012,24.54655172413793,7.919655172413794,28.76,2.822906652803693,16.62689655172414,0.8400000000000001,5,0,0,28.072068965517246,10.445172413793102,32.41,2.148170948422243,17.626896551724137,5.0,6,0,6,36.91269230769231,18.396923076923077,40.36,2.5423242243149207,18.51576923076923,5.3100000000000005,2,21,27.585054945054942,11.573626373626373,57.29999999999999
Karnal,2013,23.27821428571429,9.332142857142857,27.03,2.5951436891231605,13.946071428571427,84.58000000000001,14,0,0,27.194642857142856,11.717142857142857,32.2,3.926418103944628,15.477499999999997,46.24,11,0,10,33.68346153846154,16.913076923076922,38.58,2.6624288795123783,16.770384615384614,9.760000000000002,9,7,27.09325966850829,11.457458563535912,156.56
Karnal,2014,22.951071428571424,8.348571428571427,26.56,2.2836363777580932,14.602500000000001,47.96,14,0,0,25.298214285714284,10.132857142857143,29.78,2.3105235154276,15.165357142857145,28.57,13,0,0,32.91769230769231,16.290384615384617,37.7,2.2130726290699236,16.627307692307692,20.28,16,3,26.850497237569062,11.359834254143648,157.18
